title,url,last_edited
Kevin Bacon,https://en.wikipedia.org/wiki/Kevin_Bacon," This page was last edited on 1 January 2021, at 17:28"
 (1984 film),https://en.wikipedia.org/wiki/Footloose_(1984_film)," This page was last edited on 16 December 2020, at 08:11"
Holly Near,https://en.wikipedia.org/wiki/Holly_Near," This page was last edited on 4 December 2020, at 02:32"
Sleepers,https://en.wikipedia.org/wiki/Sleepers," This page was last edited on 23 December 2020, at 00:24"
 (film),https://en.wikipedia.org/wiki/Apollo_13_(film)," This page was last edited on 23 December 2020, at 01:29"
A Few Good Men,https://en.wikipedia.org/wiki/A_Few_Good_Men," This page was last edited on 1 January 2021, at 00:50"
 (film),https://en.wikipedia.org/wiki/Mystic_River_(film)," This page was last edited on 15 December 2020, at 04:34"
 (film),https://en.wikipedia.org/wiki/JFK_(film)," This page was last edited on 1 January 2021, at 02:02"
 (2004 film),https://en.wikipedia.org/wiki/The_Woodsman_(2004_film)," This page was last edited on 31 December 2020, at 15:14"
Edmund Bacon (architect),https://en.wikipedia.org/wiki/Edmund_Bacon_(architect)," This page was last edited on 2 January 2021, at 02:05"
Sosie Bacon,https://en.wikipedia.org/wiki/Sosie_Bacon," This page was last edited on 3 November 2020, at 00:55"
Kevin Bacon (disambiguation),https://en.wikipedia.org/wiki/Kevin_Bacon_(disambiguation)," This page was last edited on 11 April 2020, at 17:44"
Michael Bacon (musician),https://en.wikipedia.org/wiki/Michael_Bacon_(musician)," This page was last edited on 12 October 2020, at 12:42"
Kyra Sedgwick,https://en.wikipedia.org/wiki/Kyra_Sedgwick," This page was last edited on 7 December 2020, at 10:10"
Philadelphia,"https://en.wikipedia.org/wiki/Philadelphia,_Pennsylvania"," This page was last edited on 27 December 2020, at 01:56"
 (film),https://en.wikipedia.org/wiki/Balto_(film)," This page was last edited on 3 January 2021, at 03:55"
